36127702 | @DISEASE_COVID_19 | COVID-19 | 1837 | 8 | Disease | disease | COVID-19
12925327 | @GENE_HLA_B | HLA-B | 1076 | 5 | Gene | gene | HLA-B
36927880 | @DISEASE_Epilepsy | Epilepsy | 113 | 8 | Disease | disease | Epilepsy
36927880 | @DISEASE_Seizures | Seizures | 227 | 7 | Disease | disease | seizure
36927880 | @DISEASE_Drug_Resistant_Epilepsy | Drug Resistant Epilepsy | 278 | 23 | Disease | disease | drug resistant epilepsy
36927880 | @DISEASE_Drug_Resistant_Epilepsy | Drug Resistant Epilepsy | 303 | 3 | Disease | disease | DRE
36927880 | @DISEASE_Drug_Resistant_Epilepsy | Drug Resistant Epilepsy | 734 | 3 | Disease | disease | DRE
36927880 | @DISEASE_Epilepsy | Epilepsy | 1387 | 8 | Disease | disease | epilepsy
36927880 | @DISEASE_Epilepsy | Epilepsy | 1492 | 8 | Disease | disease | epilepsy
36927880 | @DISEASE_Seizures | Seizures | 1637 | 7 | Disease | disease | seizure
36927880 | @DISEASE_Epilepsy | Epilepsy | 2226 | 8 | Disease | disease | epilepsy
36927880 | @DISEASE_Epilepsy | Epilepsy | 2403 | 8 | Disease | disease | epilepsy
36927880 | @DISEASE_Drug_Resistant_Epilepsy | Drug Resistant Epilepsy | 2479 | 3 | Disease | disease | DRE
36927880 | @DISEASE_Drug_Resistant_Epilepsy | Drug Resistant Epilepsy | 2569 | 3 | Disease | disease | DRE
29263266 | @DISEASE_HIV_Infections | HIV Infections | 40 | 13 | Disease | disease | HIV Infection
29263266 | @DISEASE_HIV_Infections | HIV Infections | 214 | 13 | Disease | disease | HIV infection
29263266 | @DISEASE_HIV_Infections | HIV Infections | 334 | 13 | Disease | disease | HIV infection
29263266 | @CHEMICAL_Galactose | Galactose | 1767 | 9 | Chemical | chemical | galactose
29263266 | @CHEMICAL_Galactose | Galactose | 1778 | 3 | Chemical | chemical | Gal
29263266 | @CHEMICAL_Polysaccharides | Polysaccharides | 1964 | 7 | Chemical | chemical | glycans
29263266 | @DISEASE_HIV_Infections | HIV Infections | 2416 | 3 | Disease | disease | HIV
36301637 | @GENE_S | S | 34 | 5 | Gene | gene | spike
36301637 | @GENE_S | S | 120 | 5 | Gene | gene | spike
36301637 | @GENE_S | S | 127 | 1 | Gene | gene | S
36301637 | @GENE_S | S | 331 | 1 | Gene | gene | S
36301637 | @CHEMICAL_Sulfur | Sulfur | 510 | 1 | Chemical | chemical | S
36301637 | @DISEASE_Infections | Infections | 808 | 9 | Disease | disease | infection
36301637 | @VARIANT_p.K986P_S_Severe_acute_respiratory_syndrome_coronavirus_2 | p.K986P | 941 | 5 | Variant | variant | K986P
36301637 | @VARIANT_p.V987P_S_Severe_acute_respiratory_syndrome_coronavirus_2 | p.V987P | 951 | 5 | Variant | variant | V987P
36301637 | @DISEASE_Infections | Infections | 1324 | 9 | Disease | disease | infection
