21624955 | Association | Atherosclerosis | Trp53-ps
21624955 | Positive_Correlation | Peroxynitrous Acid | Prkcz
21624955 | Association | Atherosclerosis | Prkcz
33769609 | Association | Fatty Liver | Cflar
33769609 | Association | Obesity | Pias1
33769609 | Association | Fatty Liver | Pias1
33769609 | Association | Embolism Fat | Mapk8
33769609 | Association | Embolism Fat | Cflar
33769609 | Association | Obesity | Cdkn2a
33769609 | Negative_Correlation | Prmt1 | Mapk8
33769609 | Association | Fatty Liver | Cdkn2a
33769609 | Association | Fatty Liver | Mapk8
33769609 | Association | Fatty Liver | Prmt1
33769609 | Negative_Correlation | Cflar | Prmt1
33769609 | Association | Cdkn2a | Pias1
33769609 | Association | Embolism Fat | Cdkn2a
33769609 | Negative_Correlation | Cflar | Mapk8
19161662 | Association | N-nitrosopiperidine | Water
19161662 | Association | Nitrosamines | Drinking Water
19161662 | Association | N-Nitrosopyrrolidine | Water
22745796 | Association | POU5F1 | PIAS2
22745796 | Positive_Correlation | SUMO1 | NANOG
22745796 | Positive_Correlation | UBE2I | NANOG
22745796 | Association | PIAS3 | POU5F1
22745796 | Bind | POU5F1 | SOX2
22745796 | Association | SOX2 | NANOG
22745796 | Association | PIAS3 | SOX2
22745796 | Association | POU5F1 | NANOG
23843607 | Negative_Correlation | Hypoxia | SIRT1
23843607 | Association | Neoplasm Metastasis | SIRT1
23843607 | Association | Ovarian Neoplasms | SIRT1
23843607 | Negative_Correlation | Hypoxia Brain | SIRT1
23843607 | Association | Carcinogenesis | SIRT1
23843607 | Positive_Correlation | Hypoxia | PIAS4
23843607 | Negative_Correlation | SIRT1 | PIAS4
23843607 | Association | Neoplasm Metastasis | PIAS4
23843607 | Association | Neoplasms | PIAS4
23843607 | Association | Neoplasms | SIRT1
23843607 | Association | Ovarian Neoplasms | PIAS4
33980979 | Association | plerixafor | CXCR4
33980979 | Negative_Correlation | mavorixafor | CXCR4
36401044 | Negative_Correlation | Steroids | Muscular Dystrophies
36769182 | Association | Esx1 | Lgals3
34267330 | Negative_Correlation | Lats1 | Ube2i
34267330 | Association | Ovarian Neoplasms | p.K829R
34267330 | Association | Ovarian Neoplasms | #9113#
34267330 | Positive_Correlation | Endocrine System Diseases | p.K829R
34267330 | Association | Prostatic Neoplasms | #9113#
34267330 | Association | Endocrine System Diseases | #9113#
34267330 | Association | Prostatic Neoplasms | LATS1
34267330 | Association | Prostatic Neoplasms | p.K829R
34267330 | Association | Endocrine System Diseases | Lats1
34267330 | Association | Prostatic Neoplasms | p.K830R
34267330 | Association | Ovarian Neoplasms | Lats1
34267330 | Association | MOB1A | LATS1
34267330 | Association | Prostatic Neoplasms | Lats1
34267330 | Association | Ovarian Neoplasms | LATS1
34267330 | Association | Endocrine System Diseases | LATS1
38131305 | Association | Neoplasms | CXCR4
38131305 | Negative_Correlation | LY2510924 | CXCR4
